Employee Key,Employee,Is Salesperson,Department,Sales Target,Territory,Manager ID,Branch,Employee Level,Performance Grade
1,Lily Code,False,Finance,0,Southwest,45,East Branch,Junior,Grade C
2,Isabella Rupp,False,Finance,0,Great Lakes,10,South Branch,Junior,Grade A
3,Ethan Onslow,True,Corporate Sales,1606617,Southeast,11,Main Office,Director,Grade A
4,Amy Trefl,False,Logistics,0,Mideast,45,Main Office,Manager,Grade C
5,Jai Shand,True,Retail Sales,535537,Southwest,10,North Branch,Junior,Grade A
6,Anthony Grosse,False,IT,0,Great Lakes,32,North Branch,Senior,Grade B
7,Taj Shand,False,HR,0,New England,10,West Branch,Director,Grade A
8,Hudson Hollinworth,False,HR,0,Southeast,45,South Branch,Junior,Grade C
9,Jack Potter,False,IT,0,Plains,10,Main Office,Junior,Grade C
10,Piper Koch,False,HR,0,Rocky Mountain,10,West Branch,Director,Grade C
11,Hudson Onslow,False,Logistics,0,Plains,45,North Branch,Director,Grade C
12,Sophia Hinton,True,Corporate Sales,1071074,Mideast,32,West Branch,Director,Grade C
13,Henry Forlonge,False,Operations,0,New England,11,Main Office,Junior,Grade B
14,Stella Rosenhain,False,IT,0,New England,10,West Branch,Manager,Grade B
15,Kayla Woodcock,False,Logistics,0,Far West,45,South Branch,Manager,Grade B
16,Katie Darwin,False,HR,0,Far West,10,Main Office,Senior,Grade C
17,Alica Fatnowna,True,Retail Sales,535537,Great Lakes,11,North Branch,Junior,Grade A
18,Eva Muirden,True,Retail Sales,1606612,Far West,10,Main Office,Director,Grade A
19,Archer Lamble,False,IT,0,Far West,10,West Branch,Junior,Grade C
20,Isabella Rupp,True,Retail Sales,357025,Plains,10,Main Office,Junior,Grade C
21,Lily Code,False,Logistics,0,New England,11,South Branch,Director,Grade A
22,Ethan Onslow,False,IT,0,Southeast,11,Main Office,Senior,Grade B
23,Amy Trefl,False,Operations,0,Rocky Mountain,10,East Branch,Junior,Grade A
24,Jai Shand,True,Retail Sales,446281,External,32,North Branch,Junior,Grade B
25,Anthony Grosse,False,Operations,0,Rocky Mountain,32,Main Office,Director,Grade B
26,Taj Shand,True,Corporate Sales,535537,Far West,11,Main Office,Senior,Grade C
27,Hudson Hollinworth,False,Logistics,0,Great Lakes,45,East Branch,Director,Grade C
